VendorName,VenCode,PartNumber,LongDescription,JobberPrice,Cost,UPSable,ExeterQty,TotalQty,CoreCharge,CaseQty,IsNonReturnable,ManufacturerPartNo,HazardousMaterial,Brand
BUSHWACKER,L22,5090902,Fender Flares: 2006 Dodge Pick Up Full Size; long box; OE Style Fender Flares; 4 piece complete set,469,347.06,TRUE,5,27,0,1,FALSE,50909-02,,BDMQ
BUSHWACKER,L22,5091002,Fender Flares: 2006 Dodge Pick Up Fullsize; short box;OE Fender Flares,469,347.06,TRUE,4,15,0,1,FALSE,50910-02,,BDMQ
BUSHWACKER,L22,5091102,Fender Flares: 2006 Dodge Pick Up Full Size; long box; Pocket Style Flares; complete 4 piece kit,499,369.26,TRUE,20,32,0,1,FALSE,50911-02,,BDMQ
BUSHWACKER,L22,5091202,Fender Flares: 2006 Dodge pick Up Full Size; long box; Extend-A-Fender Fender Flares; 4 piece complete set,489,361.86,TRUE,2,3,0,1,FALSE,50912-02,,BDMQ
BUSHWACKER,L22,5091402,09 DODGE EXTEND A FENDER,489,361.86,TRUE,5,18,0,1,FALSE,50914-02,,BDMQ
BUSHWACKER,L22,5091502,DODGE RAM POCKET STYLE 09,499,369.26,TRUE,28,50,0,1,FALSE,50915-02,,BDMQ
BUSHWACKER,L22,5091515,RAM PKT FLR BR WH CL COAT,849,628.26,TRUE,1,9,0,1,FALSE,50915-15,,BDMQ
BUSHWACKER,L22,5091535,RAM PKT FLR BLK CL COAT,849,628.26,TRUE,0,20,0,1,FALSE,50915-35,,BDMQ
BUSHWACKER,L22,5091555,RAM PKT FLR BR SILV METAL,849,628.26,TRUE,2,6,0,1,FALSE,50915-55,,BDMQ
BUSHWACKER,L22,5091565,RAM PKT FLR GRANITE CRYS,849,628.26,TRUE,2,14,0,1,FALSE,50915-65,,BDMQ
BUSHWACKER,L22,5091575,RAM PKT FLR FL RED CL CT,849,628.26,TRUE,1,2,0,1,FALSE,50915-75,,BDMQ
BUSHWACKER,L22,5091585,PCKT COLOR 4PC RAM 16-17,849,628.26,TRUE,3,14,0,1,FALSE,50915-85,,BDMQ
BUSHWACKER,L22,5091702,OE FLARE 2010 DODGE SD,469,347.06,TRUE,6,22,0,1,FALSE,50917-02,,BDMQ
BUSHWACKER,L22,5091802,RAM 2500/3500  2010,489,361.86,TRUE,6,26,0,1,FALSE,50918-02,,BDMQ
BUSHWACKER,L22,5091902,RAM 2500/3500  2010,499,369.26,TRUE,40,50,0,1,FALSE,50919-02,,BDMQ
BUSHWACKER,L22,5091915,RAM PKT FLR BR WH CL COAT,849,628.26,TRUE,3,20,0,1,FALSE,50919-15,,BDMQ
BUSHWACKER,L22,5091935,RAM PKT FLR BLK CL COAT,849,628.26,TRUE,2,10,0,1,FALSE,50919-35,,BDMQ
BUSHWACKER,L22,5091955,RAM PKT FLR BR SILV METAL,849,628.26,TRUE,1,17,0,1,FALSE,50919-55,,BDMQ
BUSHWACKER,L22,5091965,RAM PKT FLR GRANITE CRYST,849,628.26,TRUE,3,11,0,1,FALSE,50919-65,,BDMQ
BUSHWACKER,L22,5091975,RAM PKT FLR FLRED CL COAT,849,628.26,TRUE,1,4,0,1,FALSE,50919-75,,BDMQ
BUSHWACKER,L22,5091985,PCKT COLOR4PC RAMHD 16-17,849,628.26,TRUE,0,7,0,1,FALSE,50919-85,,BDMQ
BUSHWACKER,L22,5092002,OE STYLE FLARE SET SIER14,469,347.06,TRUE,15,50,0,1,FALSE,50920-02,,BDMQ
BUSHWACKER,L22,5092102,MAXCVRGE RAM HD 4PC 10-16,549,406.26,TRUE,6,26,0,1,FALSE,50921-02,,BDMQ
BUSHWACKER,L22,5092202,FF OE 4PC DAKOTA 97-04,469,347.06,TRUE,2,4,0,1,FALSE,50922-02,,BDMQ
BUSHWACKER,L22,5150102,ST.FLR SET DAKOTA4DR 97-0,479,354.46,TRUE,4,14,0,1,FALSE,51501-02,,BDMQ
BUSHWACKER,L22,5190502,FLR SET DG DAKOTA 97-9,489,361.86,TRUE,1,3,0,1,FALSE,51905-02,,BDMQ
