Item #,Category,Sub Category,Product Name,Product Link,Small Image Link,Large Image Link,Size,Dimensional Size,Length,Width,Height,Weight,Color,Detail,SKU,Description,KeyFeatures,MSRP,MAP,Price
84-0133             ,Essentials,Flags,Deluxe Car Window Flag,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=760,https://www.foxoutdoor.com/item_images_sm/840133.jpg,https://www.foxoutdoor.com/item_images_lg/840133.jpg,                                                  ,,12,18,,0.1,,Navy*,8.22E+11,CAR FLAG - NAVY                                       , 1-ply construction. White plastic pole,16.95,13.95,6.5
84-0134             ,Essentials,Flags,Deluxe Car Window Flag,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=760,https://www.foxoutdoor.com/item_images_sm/840134.jpg,https://www.foxoutdoor.com/item_images_lg/840134.jpg,                                                  ,,12,18,,0.1,,Marines,8.22E+11,CAR FLAG - MARINES                                    , 1-ply construction. White plastic pole,16.95,13.95,6.5
84-0136             ,Essentials,Flags,Deluxe Car Window Flag,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=760,https://www.foxoutdoor.com/item_images_sm/840136.jpg,https://www.foxoutdoor.com/item_images_lg/840136.jpg,                                                  ,,12,18,,0.1,,POW/MIA,8.22E+11,CAR FLAG - POW/MIA                                    , 1-ply construction. White plastic pole,13.95,11.95,5.5
84-0139             ,Essentials,Flags,Deluxe Car Window Flag,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=760,https://www.foxoutdoor.com/item_images_sm/840139.jpg,https://www.foxoutdoor.com/item_images_lg/840139.jpg,                                                  ,,12,18,,0.1,,USA,7.17E+11,CAR FLAG - USA                                        , 1-ply construction. White plastic pole,13.95,11.95,5.25
84-02               ,Essentials,Flags,3' x 5' Flags,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=756,https://www.foxoutdoor.com/item_images_sm/8402.jpg,https://www.foxoutdoor.com/item_images_lg/8402.jpg,                                                  ,,,,,0.1,,Army,99598840204,3' X 5' US ARMY FLAG                                  , 1-ply construction. Made of Super-Polyester. Canvas header. Complete with brass grommets,13.95,11.95,5.5
84-023              ,Essentials,Flags,3' x 5' Flags,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=756,https://www.foxoutdoor.com/item_images_sm/84023.jpg,https://www.foxoutdoor.com/item_images_lg/84023.jpg,                                                  ,,,,,0.1,,United States Army*,99598840235,3' X 5' ARMY FLAG(YELLOW/BLK)                         , 1-ply construction. Made of Super-Polyester. Canvas header. Complete with brass grommets,13.95,11.95,5.5
84-024              ,Essentials,Flags,3' x 5' Flags,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=756,https://www.foxoutdoor.com/item_images_sm/84024.jpg,https://www.foxoutdoor.com/item_images_lg/84024.jpg,                                                  ,,,,,0.1,,Army Star*,99598840242,3' X 5' US ARMY STAR FLAG                             , 1-ply construction. Made of Super-Polyester. Canvas header. Complete with brass grommets,13.95,11.95,5.5
84-0246             ,Essentials,Flags,United States Flags,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=758,https://www.foxoutdoor.com/item_images_sm/840246.jpg,https://www.foxoutdoor.com/item_images_lg/840246.jpg,4' x 6'                                           ,4' x 6',,,,0.15,                                                                                                    ,                                                                                                    ,99598840246,4' X 6' USA FLAG                                      ," 1-ply construction. Brass ""hang"" grommets",24.95,19.95,9.75
84-025              ,Essentials,Flags,2' x 3' Flags,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=757,https://www.foxoutdoor.com/item_images_sm/84025.jpg,https://www.foxoutdoor.com/item_images_lg/84025.jpg,                                                  ,,,,,0.1,,Army*                                                                                               ,8.22E+11,2' X 3' ARMY FLAG                                     , 1-ply construction,11.95,9.95,4.5
84-026              ,Essentials,Flags,3' x 5' Flags,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=756,https://www.foxoutdoor.com/item_images_sm/84026.jpg,https://www.foxoutdoor.com/item_images_lg/84026.jpg,                                                  ,,,,,0.1,,US Army*,8.22E+11,3' X 5' US ARMY GREEN FLAG                            , 1-ply construction. Made of Super-Polyester. Canvas header. Complete with brass grommets,13.95,11.95,5.5
